O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2400067,112898,O,185246.64,29-03-1998,4-NOT SPECIFIED,Clerk#000000515,0,ts are around the blithely regular deposits. slyly even theodolites ar
2400068,114808,O,309237.89,28-06-1996,5-LOW,Clerk#000000678,0,y ironic deposits. furious
2400069,103156,F,294964.49,17-12-1994,4-NOT SPECIFIED,Clerk#000000726,0,"l, ironic accounts. requests are above the ironic gi"
2400070,24100,O,122139.47,07-04-1997,2-HIGH,Clerk#000000102,0,believe slyly final accounts. unusual packages around
2400071,25478,F,7623.08,02-07-1994,1-URGENT,Clerk#000000535,0,ironic packages are furiously. silent pinto beans against the even requests a
2400096,102937,O,124112.91,26-10-1995,5-LOW,Clerk#000000748,0,counts. blithely final deposit
2400097,82705,F,168010.42,12-12-1994,4-NOT SPECIFIED,Clerk#000000750,0,"s. ironic, brave reques"
2400098,104477,O,122607.6,18-03-1996,2-HIGH,Clerk#000000571,0,maintain. fluffily final deposits x-ray across th
2400099,39943,O,49525.09,16-08-1997,2-HIGH,Clerk#000000639,0,ly ironic gifts. furiously ironic packages haggle ca
2400100,61102,F,199423.69,17-07-1992,5-LOW,Clerk#000000843,0,according to the blithely regular theodolites nag carefully special acco
2400101,19960,O,223678.02,25-02-1996,5-LOW,Clerk#000000916,0,"ges are blithely blithely bold courts? ironic, final acc"
2400102,37369,O,233587.79,09-12-1996,1-URGENT,Clerk#000000995,0,ng to the ironic asymp
2400103,140965,F,222455.82,03-03-1992,5-LOW,Clerk#000000001,0,"sly express packages. final, even pinto beans "
2400128,72964,F,238427.75,28-06-1994,3-MEDIUM,Clerk#000000607,0,eposits integrate slyly unusual patterns. fur
2400129,29437,O,160664.77,29-11-1997,2-HIGH,Clerk#000000981,0,quickly express dinos. fluffi
2400130,18034,F,67500.32,16-03-1993,2-HIGH,Clerk#000000329,0," deposits. special, final excuses a"
2400131,72892,F,46854.2,26-03-1993,5-LOW,Clerk#000000887,0,ly furiously ironic attainments. 
2400132,30088,F,268882.21,14-04-1994,2-HIGH,Clerk#000000630,0,ly ironic platelets integrat
2400133,5728,F,287617.91,03-02-1994,5-LOW,Clerk#000000666,0,"oss the furiously regular deposits kindle even, even packages. blit"
2400134,99754,F,109377.39,25-06-1994,2-HIGH,Clerk#000000456,0,t the regular accounts. packages sleep blithely slyly unusual pinto bean
2400135,1147,F,141748.69,02-07-1992,3-MEDIUM,Clerk#000000452,0,egular pinto beans boost slyly. pending pinto beans haggle
2400160,76900,F,157339.7,23-01-1995,1-URGENT,Clerk#000000316,0,c somas haggle along the i
2400161,25882,O,158337.78,29-12-1996,4-NOT SPECIFIED,Clerk#000000820,0,"t instructions sleep blithely enticing, special instructions. platelets caj"
2400162,115402,F,33917.23,10-01-1993,5-LOW,Clerk#000000737,0, packages against the ev
2400163,40966,F,7203.66,06-02-1993,3-MEDIUM,Clerk#000000524,0,"ke quickly theodolites. silent, ironic foxes dazzle after the unusual "
2400164,135922,O,55059.87,29-06-1997,4-NOT SPECIFIED,Clerk#000000655,0,dly unusual instructions wake slyly afte
2400165,79705,O,104193.8,14-10-1995,4-NOT SPECIFIED,Clerk#000000466,0,deposits are according to the furiously even requests. fluffily even
2400166,99326,F,201221.32,18-03-1992,1-URGENT,Clerk#000000827,0,into beans. furiousl
2400167,5780,O,246335.86,11-07-1995,4-NOT SPECIFIED,Clerk#000000082,0,carefully about the special reques
2400192,86078,F,113603.45,21-12-1994,5-LOW,Clerk#000000506,0,ncies. carefully final req
2400193,108349,F,200286.02,23-12-1992,2-HIGH,Clerk#000000901,0,out the packages na
2400194,146230,F,261486.25,30-04-1994,4-NOT SPECIFIED,Clerk#000000655,0,are furiously alongside of the accounts. bold pac
2400195,65347,O,33921.92,14-10-1997,4-NOT SPECIFIED,Clerk#000000433,0,s are alongside of the ruthlessly ironic i
2400196,105887,O,225465.88,23-02-1998,2-HIGH,Clerk#000000218,0,e blithely special sentiments. furiously final accounts lose blith
2400197,40378,F,33683.16,25-06-1993,1-URGENT,Clerk#000000876,0,sly even requests. quickly ironic asymptotes wake quickly above the b
2400198,18142,O,156329.35,04-08-1996,4-NOT SPECIFIED,Clerk#000000122,0,furiously furiously pending deposits. blithely ironi
2400199,90595,F,196238.24,24-05-1994,2-HIGH,Clerk#000000432,0,ep furiously. slyly ironic ac
2400224,98342,O,225229.56,20-08-1996,1-URGENT,Clerk#000000319,0," regular, furious dependencies am"
2400225,124207,O,235145.3,10-10-1997,1-URGENT,Clerk#000000394,0,ep furiously above th
2400226,121102,F,199870.52,03-08-1993,2-HIGH,Clerk#000000455,0,ntly unusual requests solve slyly accordin
2400227,133360,F,87187.39,04-02-1994,1-URGENT,Clerk#000000559,0,ray. bold deposits cajole. even requests affi
2400228,75229,O,145716.3,22-05-1997,1-URGENT,Clerk#000000515,0,sleep after the bli
2400229,5005,O,104717.73,13-04-1995,1-URGENT,Clerk#000000659,0,al foxes according to the furio
2400230,105865,O,72575.34,05-06-1995,1-URGENT,Clerk#000000084,0,nal pinto beans haggle carefully furiously 
2400231,92723,O,12422.2,18-07-1998,4-NOT SPECIFIED,Clerk#000000356,0,according to the theodolites solve quickly across the iron
2400256,29164,O,167631.27,17-07-1997,4-NOT SPECIFIED,Clerk#000000792,0," final, regular requests. slyly even foxes detect among the even depos"
2400257,98635,O,4736.2,04-06-1997,2-HIGH,Clerk#000000846,0, express accounts. carefully special asymptotes integrate carefully pe
2400258,95666,F,282562.35,09-05-1994,3-MEDIUM,Clerk#000000891,0,l pinto beans nag qui
2400259,7342,P,145253.69,30-05-1995,3-MEDIUM,Clerk#000000926,0,"ly. dependencies integrate; express, express instru"
2400260,81479,O,328930.12,14-11-1995,1-URGENT,Clerk#000000599,0,"nding, regular deposits. fluffily bold requests gr"
2400261,62876,F,110414.8,27-08-1994,1-URGENT,Clerk#000000603,0,packages. requests cajole carefully. i
2400262,146567,F,93301.63,17-10-1993,2-HIGH,Clerk#000000117,0,eposits. slyly regular accounts sleep? fl
2400263,42379,O,264069.5,20-05-1997,3-MEDIUM,Clerk#000000626,0,es haggle. foxes sleep furiousl
2400288,36964,F,121910.55,16-12-1994,1-URGENT,Clerk#000000222,0,ress foxes wake furiously alongside 
2400289,86392,O,267858.01,24-01-1997,5-LOW,Clerk#000000890,0," according to the special, final dolphins. packages are car"
2400290,115096,O,91302.74,24-11-1996,4-NOT SPECIFIED,Clerk#000000107,0, packages hang furiou
2400291,140237,O,153850.95,03-08-1997,1-URGENT,Clerk#000000266,0,its. blithely unusual
2400292,148831,F,241799.27,01-02-1992,2-HIGH,Clerk#000000278,0,fluffily against the furiously spe
2400293,140377,P,309125.13,09-04-1995,1-URGENT,Clerk#000000034,0,express asymptotes boost blit
2400294,100051,F,5881.44,08-01-1994,2-HIGH,Clerk#000000455,0,deas. pending accounts about the regu
2400295,47573,O,213304,14-02-1997,5-LOW,Clerk#000000340,0,e after the warhorses. p
2400320,54421,P,338159.28,26-05-1995,4-NOT SPECIFIED,Clerk#000000395,0,ns. dugouts sleep carefully furiously final accounts-- quickly regu
2400321,77359,O,70380.96,19-07-1996,4-NOT SPECIFIED,Clerk#000000652,0,equests. slyly ironic theodol
2400322,106270,F,194429.18,31-01-1992,5-LOW,Clerk#000000254,0, ironic platelets use slyly. fluffily 
2400323,20149,P,165366.89,10-03-1995,2-HIGH,Clerk#000000046,0,gle furiously among the carefully br
2400324,83950,O,282718.23,23-11-1996,1-URGENT,Clerk#000000858,0,es are. platelets cajole after the special deposits. bold accounts
2400325,43156,F,72198.38,26-09-1994,3-MEDIUM,Clerk#000000880,0,ckages are carefull
2400326,46186,O,77988.07,05-01-1996,3-MEDIUM,Clerk#000000662,0,ongside of the furiously final pinto beans haggle blithely packa
2400327,146828,O,392706.1,10-08-1996,2-HIGH,Clerk#000000102,0, slyly express accounts above the
2400352,83287,F,155932.71,06-04-1993,2-HIGH,Clerk#000000680,0, carefully express accounts. carefully regular theodolites hagg
2400353,143662,O,271713.87,01-02-1997,3-MEDIUM,Clerk#000000382,0,lly even pinto beans haggle furiously against the ironic ideas. pinto bean
2400354,110818,F,267147.95,19-01-1993,2-HIGH,Clerk#000000299,0,mong the pending accounts cajol
2400355,95638,F,260082.14,27-08-1993,5-LOW,Clerk#000000807,0,ns print about the quickly express fox
2400356,107584,O,164299.88,06-01-1996,4-NOT SPECIFIED,Clerk#000000394,0,ts sleep bravely. busily express packages are
2400357,37364,F,66417.46,19-07-1993,2-HIGH,Clerk#000000987,0,ng requests unwind fluffily after the furiously final theodolites. fu
2400358,68323,O,201518.9,22-08-1997,4-NOT SPECIFIED,Clerk#000000566,0,fully final accounts. fin
2400359,48406,O,192020.66,13-02-1996,5-LOW,Clerk#000000094,0,s the quickly express asymptotes. carefully special ideas use fluffily. caref
2400384,90859,O,106443.48,31-03-1998,5-LOW,Clerk#000000275,0,inside the boldly pending packages. bold requests cajole.
2400385,33901,F,164427.36,28-03-1994,1-URGENT,Clerk#000000369,0,ounts are furiously according to the fluffily regular accounts. spec
2400386,67139,F,54495.02,03-08-1992,1-URGENT,Clerk#000000825,0, dependencies. regular foxes integrat
2400387,99451,O,163747.64,17-10-1995,1-URGENT,Clerk#000000280,0,"ons sleep quickly. ironic, stealthy accounts haggl"
2400388,8770,F,347098.42,22-08-1993,2-HIGH,Clerk#000000848,0,ts mold silently carefully silent requests. express
2400389,82942,O,159041.33,10-05-1997,2-HIGH,Clerk#000000017,0, use slyly against the furiously even foxes. furiou
2400390,27592,O,48737.72,13-11-1996,2-HIGH,Clerk#000000402,0,kages are. instructions cajole blithely aroun
2400391,78050,P,229517.65,17-03-1995,2-HIGH,Clerk#000000372,0,"orges use furiously alongside of the final, regular"
2400416,32173,O,176043.66,27-09-1997,3-MEDIUM,Clerk#000000467,0, ideas. excuses use carefully final packages. specia
2400417,126373,F,69751.11,04-08-1993,4-NOT SPECIFIED,Clerk#000000891,0,uickly express requests cajole carefully unusual theodolit
2400418,94558,F,68980.76,26-05-1993,1-URGENT,Clerk#000000017,0,ely final pinto beans ha
2400419,103150,P,91555.79,11-03-1995,1-URGENT,Clerk#000000631,0,ess accounts cajole careful
2400420,72868,O,180096.13,19-03-1998,1-URGENT,Clerk#000000674,0,"g the deposits wake fluffily special, special accounts. "
2400421,60496,O,78061.77,07-02-1996,5-LOW,Clerk#000000034,0,s detect furiously ironic foxes. carefully ironic accounts cajole slyly unusu
2400422,49214,F,278282.18,28-10-1994,2-HIGH,Clerk#000000075,0,s sleep quickly. even packages wake furiously against the
2400423,34978,F,1480.87,15-11-1992,4-NOT SPECIFIED,Clerk#000000695,0,gle evenly ironic packages. slyl
2400448,16816,O,75236.44,04-02-1996,2-HIGH,Clerk#000000683,0,telets haggle: blithely regular depths wake! furiously 
2400449,146660,F,150947.38,18-08-1992,4-NOT SPECIFIED,Clerk#000000844,0,es. carefully even accounts integrate blithely
2400450,98399,O,37265.04,01-09-1996,1-URGENT,Clerk#000000319,0,mptotes; fluffily regular escapades sleep
2400451,40619,F,21750.88,18-06-1992,2-HIGH,Clerk#000000118,0, furiously. packages haggle across t
2400452,24218,F,131372.2,19-07-1993,2-HIGH,Clerk#000000027,0,"yly regular ideas mold carefully for the silent, final requests. carefully "
2400453,75295,F,231666.44,14-11-1994,1-URGENT,Clerk#000000553,0,he ironic packages. blithely pending deposits try to use blithely ag
2400454,50291,F,380372.66,22-04-1994,2-HIGH,Clerk#000000958,0,odolites. special fo
2400455,132547,O,222856.38,19-07-1998,4-NOT SPECIFIED,Clerk#000000470,0,ly across the carefully express deposits. silent theodolites sleep 
2400480,47474,O,137025.65,13-07-1995,5-LOW,Clerk#000000591,0,odolites sleep carefully i
2400481,39556,F,152330.98,04-08-1994,4-NOT SPECIFIED,Clerk#000000418,0,ly ironic packages are. req
2400482,14530,O,182885.79,26-06-1998,1-URGENT,Clerk#000000825,0,inly at the special dependencies. special req
2400483,139667,F,132364.55,08-02-1994,4-NOT SPECIFIED,Clerk#000000236,0,jole along the quickly r
2400484,16700,F,238178.26,22-12-1992,4-NOT SPECIFIED,Clerk#000000785,0,sual pinto beans detect carefully. furiously regular theodolites a
2400485,26648,F,74991.68,02-04-1994,1-URGENT,Clerk#000000895,0,xes across the quickly even packages breach quickly blithely ironic theodol
2400486,122140,O,158897.28,08-05-1997,4-NOT SPECIFIED,Clerk#000000043,0,ious accounts wake fluffily carefully regular deposits. fur
2400487,34907,F,340988.87,25-04-1993,4-NOT SPECIFIED,Clerk#000000841,0,he slyly fluffy requests haggle across the blithely pending packages. c
2400512,17819,O,81886.1,02-02-1996,2-HIGH,Clerk#000000768,0,"oxes. theodolites across the regular, express "
2400513,73285,O,89012.8,23-06-1998,1-URGENT,Clerk#000000148,0,long the furiously special instructions. furiously ruthless deposits det
2400514,40843,F,255177.81,06-09-1992,3-MEDIUM,Clerk#000000137,0,ully furiously bold platelets. slyly
2400515,19733,O,136128.63,10-05-1997,4-NOT SPECIFIED,Clerk#000000244,0,s wake fluffily after the carefully even deposits. carefully bold theo
2400516,149830,F,262989.4,22-12-1992,3-MEDIUM,Clerk#000000109,0,ions? packages sleep. furiously ev
2400517,137428,F,58526.3,06-08-1992,1-URGENT,Clerk#000000669,0,as wake bravely among the blithely unusual asymptotes. express a
2400518,38609,F,192377.24,07-01-1993,3-MEDIUM,Clerk#000000922,0,es among the quickly 
2400519,147355,F,11898.28,28-01-1995,4-NOT SPECIFIED,Clerk#000000813,0,y regular accounts: bravely brave accounts are quickly furiously 
2400544,77749,O,191828.2,18-07-1996,3-MEDIUM,Clerk#000000821,0,ans. blithely close deposits
2400545,55246,O,199943,18-04-1997,4-NOT SPECIFIED,Clerk#000000977,0,"eposits. final, pending foxes haggle"
2400546,138010,O,44501.56,09-10-1995,1-URGENT,Clerk#000000036,0,ithely ironic foxes sleep idly about the caref
2400547,61174,O,271999.51,14-05-1998,4-NOT SPECIFIED,Clerk#000000807,0,riously final pinto beans wake quickl
2400548,41159,F,107286.78,11-02-1992,4-NOT SPECIFIED,Clerk#000000890,0,. special deposits sleep thinly a
2400549,96602,O,113452.82,21-04-1998,3-MEDIUM,Clerk#000000970,0, the fluffily final courts nag sometimes in place of th
2400550,126382,F,57934.71,10-02-1993,4-NOT SPECIFIED,Clerk#000000949,0," wake quickly. ironic, bold orbits haggle slyly. slyly unusual instructions "
2400551,80138,O,207983.14,21-10-1995,1-URGENT,Clerk#000000618,0,"ironic requests maintain even, express pinto beans. furiously regular de"
2400576,17753,O,183192.01,28-10-1995,1-URGENT,Clerk#000000753,0," even, ironic frets. bold, unu"
2400577,15007,F,14634.98,22-12-1992,4-NOT SPECIFIED,Clerk#000000109,0,"ven packages. regular, ironic foxes"
2400578,54854,F,150466.7,04-08-1994,5-LOW,Clerk#000000893,0,le blithely after the speci
2400579,22367,F,178171.9,30-07-1994,5-LOW,Clerk#000000420,0," doubt furiously. fluffily final requests are bold, fin"
2400580,7286,F,247790.78,04-08-1992,4-NOT SPECIFIED,Clerk#000000693,0,lyly bold asymptotes are quickly blithely even instructions. sly reque
2400581,51280,F,36953.37,20-07-1992,3-MEDIUM,Clerk#000000252,0,nusual requests. even asymptotes alongside of the iron
2400582,111412,O,136484.87,18-04-1996,5-LOW,Clerk#000000594,0,s packages sleep quickly special pinto
2400583,41581,O,125613.38,24-04-1995,4-NOT SPECIFIED,Clerk#000000900,0,he quickly final packag
2400608,133207,F,128715.49,16-03-1993,4-NOT SPECIFIED,Clerk#000000269,0,fluffily regular platelets. furiously ironic requests cajole furiously furi
2400609,29983,F,54624.31,04-09-1992,4-NOT SPECIFIED,Clerk#000000710,0,"l deposits. pending, special requests boo"
2400610,62728,F,38980.03,18-05-1993,5-LOW,Clerk#000000768,0,equests. express instructions haggle
2400611,53110,F,166145.08,07-10-1994,3-MEDIUM,Clerk#000000423,0,lar theodolites sleep fluf
2400612,97690,F,232845.98,01-02-1995,5-LOW,Clerk#000000470,0,onic accounts cajole requests. furiously bold asympto
2400613,98128,O,43684.16,15-07-1995,4-NOT SPECIFIED,Clerk#000000055,0," packages. regular, ironic asymptotes affix furiously fin"
2400614,130312,O,93261.13,02-10-1996,5-LOW,Clerk#000000966,0,". ironic, regular requests cajole along the final accounts. packages ki"
2400615,121558,F,54995.91,20-06-1994,4-NOT SPECIFIED,Clerk#000000081,0,ay. carefully bold depths across the furiously unusual requests affi
2400640,350,F,206605.29,03-05-1995,4-NOT SPECIFIED,Clerk#000000076,0,c ideas doubt speci
2400641,25240,O,312724.98,07-07-1996,2-HIGH,Clerk#000000061,0,dependencies boost along the slyly f
2400642,128176,F,252331.63,17-08-1994,5-LOW,Clerk#000000192,0,ounts are ironic deposits. blithely ironic platelets boost slyly about the id
2400643,103042,F,243524.76,25-03-1993,2-HIGH,Clerk#000000221,0,. slyly silent deposits cajole carefully regular patterns. regu
2400644,45005,O,261349.08,29-01-1998,2-HIGH,Clerk#000000109,0,sits poach carefully a
2400645,93038,O,315725.65,11-11-1996,1-URGENT,Clerk#000000289,0,"ven platelets. carefully express orbits are fluffily express, even packages. b"
2400646,79468,O,168768.38,25-12-1996,1-URGENT,Clerk#000000298,0,express requests boost furiously. fluffily ironic courts boost iro
2400647,139895,F,178173.91,30-05-1994,4-NOT SPECIFIED,Clerk#000000446,0,d into the slyly unusual realms. fluffily regular requests wake. bold pearls 
2400672,99451,O,175200.51,21-12-1997,1-URGENT,Clerk#000000639,0,xes eat. fluffily regular pinto beans haggle idly with the
2400673,17410,O,245796.19,12-10-1995,3-MEDIUM,Clerk#000000812,0,al deposits. packages boost carefully. court
2400674,100660,O,54964,09-05-1998,1-URGENT,Clerk#000000018,0,al theodolites. blithely special instructions boost. s
2400675,65869,O,174355.31,16-05-1997,3-MEDIUM,Clerk#000000631,0,mong the busily regular deposits integrate carefully
2400676,27796,F,162224.95,23-05-1994,2-HIGH,Clerk#000000521,0,ns. frays haggle blithely: fl
2400677,57203,O,189581.13,26-04-1997,3-MEDIUM,Clerk#000000947,0," bold, ironic pinto bean"
2400678,57316,F,155842.78,15-01-1992,1-URGENT,Clerk#000000338,0,"pending asymptotes. regular,"
2400679,131813,O,162352.93,14-09-1996,4-NOT SPECIFIED,Clerk#000000043,0,leep blithely silent
2400704,19798,O,139303.93,22-11-1996,2-HIGH,Clerk#000000359,0,. furiously ironic accounts wake carefully. blithely final deposi
2400705,16099,O,231260.21,13-11-1995,3-MEDIUM,Clerk#000000007,0,ages. special foxes are. always sly deposits cajole about the furiousl
2400706,111454,P,196387.46,24-03-1995,2-HIGH,Clerk#000000283,0,sly carefully even theodo
2400707,135508,F,161057.31,30-01-1993,1-URGENT,Clerk#000000374,0,"sual accounts inside the pending, ironic dep"
2400708,20653,F,129833.79,27-04-1994,2-HIGH,Clerk#000000742,0,fluffily special theodolites boost slyly according to the deposit
2400709,2557,F,92290.23,07-03-1995,3-MEDIUM,Clerk#000000040,0, carefully slyly ironic deposits. carefully express platelets dazzle furi
2400710,64270,O,98101.02,07-06-1997,1-URGENT,Clerk#000000888,0,riously final pinto beans cajole furiously slyly final a
2400711,20045,F,197709.29,07-05-1994,2-HIGH,Clerk#000000437,0,final dependencies sleep quickly along
2400736,129632,O,136820.19,02-09-1996,3-MEDIUM,Clerk#000000606,0,fully final requests nag slyly. slyly p
2400737,123139,O,115830.21,05-07-1995,1-URGENT,Clerk#000000782,0,ding to the even accounts detect according to the express packages. iro
2400738,24091,F,277907.92,14-01-1992,1-URGENT,Clerk#000000116,0,y ironic packages wake furi
2400739,41170,F,140585.79,27-12-1994,4-NOT SPECIFIED,Clerk#000000919,0,instructions. express gi
2400740,126377,F,106333.91,21-01-1992,4-NOT SPECIFIED,Clerk#000000912,0,"ges cajole unusual, regular deposits-- ironic, bold dolphins x-r"
2400741,1990,F,161565.21,25-09-1992,3-MEDIUM,Clerk#000000217,0,o beans wake blithely de
2400742,136631,O,89153.5,18-04-1998,1-URGENT,Clerk#000000415,0,c deposits. slowly bold foxes affix slyly. slowly pend
2400743,144743,O,63624.1,03-07-1998,4-NOT SPECIFIED,Clerk#000000054,0,ully carefully regular ideas. regular instructions nag according to the quic
2400768,141557,O,99217.67,18-04-1997,4-NOT SPECIFIED,Clerk#000000684,0,"e packages. final, regular deposits wake furiously. express deposits nag. care"
2400769,134948,F,36393.46,15-09-1993,2-HIGH,Clerk#000000448,0, to the quickly final packages haggle slyly final requests! unusual i
2400770,56020,O,136418.82,31-07-1995,4-NOT SPECIFIED,Clerk#000000609,0,refully even accoun
2400771,101380,O,185450.59,14-01-1997,1-URGENT,Clerk#000000323,0,s haggle at the regular excuses. slyly expre
2400772,11441,F,153696.94,28-03-1993,1-URGENT,Clerk#000000237,0,ggle across the slyly unusual deposits. unusual
2400773,131110,F,240560.1,30-12-1993,1-URGENT,Clerk#000000185,0, deposits. silent accounts boost furiously dogged packages. furi
2400774,37702,F,176177,30-08-1993,5-LOW,Clerk#000000029,0," slyly busy frays. slyly idle foxes are along the pending, final"
2400775,35039,F,8663.93,12-10-1992,2-HIGH,Clerk#000000314,0,ly final excuses. careful
2400800,136369,O,403364.97,25-12-1995,5-LOW,Clerk#000000277,0,affix carefully around the silent req
2400801,97936,O,25127.19,24-10-1997,1-URGENT,Clerk#000000016,0," regular, even depos"
2400802,38251,F,112362.67,22-10-1992,3-MEDIUM,Clerk#000000297,0, integrate furiously. even instructions detect carefully after the 
2400803,123010,F,118927.44,29-07-1993,4-NOT SPECIFIED,Clerk#000000639,0,uickly regular requests detect 
2400804,117940,O,11843.18,01-07-1998,2-HIGH,Clerk#000000665,0,ans doze slyly according to the bold
2400805,110728,F,267255.27,27-01-1993,3-MEDIUM,Clerk#000000585,0,slyly regular frays sleep quickly slyly express d
2400806,82421,F,17352.78,06-09-1992,3-MEDIUM,Clerk#000000771,0,ts about the slyly ironic gifts sleep slyly slyly ironic 
2400807,143284,O,108845.14,04-04-1996,4-NOT SPECIFIED,Clerk#000000066,0,"r requests across the even, un"
2400832,45067,F,49766.59,21-09-1993,5-LOW,Clerk#000000417,0,ic deposits affix slyly a
2400833,72088,O,182496.93,16-03-1998,4-NOT SPECIFIED,Clerk#000000806,0,to the furiously even platelets. slyly fina
2400834,32119,F,2397.36,14-12-1994,5-LOW,Clerk#000000080,0,ironic packages according to the even 
2400835,93464,O,86543.56,14-07-1998,5-LOW,Clerk#000000812,0,fully unusual instructions are after th
2400836,34981,O,13949.11,21-03-1996,5-LOW,Clerk#000000577,0,ffily regular asymptotes doubt quickly acro
2400837,44260,O,245091.95,27-08-1996,3-MEDIUM,Clerk#000000822,0,riously furiously silent deposits
2400838,10222,F,111919,29-06-1992,5-LOW,Clerk#000000957,0,"ely unusual requests. final deposits nag about the daring,"
2400839,29584,F,22703.08,20-10-1993,1-URGENT,Clerk#000000861,0,"regular packages at the ironic, quiet pinto b"
2400864,89038,F,264625.3,25-10-1992,3-MEDIUM,Clerk#000000750,0,sts wake blithely. silently close 
2400865,29090,O,181424.78,13-06-1998,1-URGENT,Clerk#000000957,0,thely after the closely final deposits. pending packages ar
2400866,49472,F,60834.25,13-07-1992,3-MEDIUM,Clerk#000000585,0,s integrate furious
2400867,21647,F,43738.97,19-03-1993,5-LOW,Clerk#000000992,0,"kages after the final, final foxes engage fluffily across the blith"
2400868,57449,F,88354.12,19-01-1993,1-URGENT,Clerk#000000907,0,". unusual requests sleep against the special, special accounts. quickly un"
2400869,136180,F,121388.95,20-05-1994,1-URGENT,Clerk#000000719,0,"luffily unusual realms boost. bold, regular id"
2400870,77135,F,126654.12,23-08-1993,1-URGENT,Clerk#000000337,0,ts cajole blithely asymptotes. carefully ironic instructions along the s
2400871,91265,F,208778.34,27-07-1993,4-NOT SPECIFIED,Clerk#000000855,0,"azzle. special, pendin"
2400896,127058,F,39814.39,23-09-1992,3-MEDIUM,Clerk#000000683,0,s instructions. furiously final theodolites haggle blithely quic
2400897,62881,O,88256.54,27-03-1998,3-MEDIUM,Clerk#000000498,0,ng foxes x-ray speci
2400898,60668,O,176799.23,27-07-1997,2-HIGH,Clerk#000000713,0, unusual ideas sleep fluffily besides t
2400899,96055,O,98884.39,05-03-1996,1-URGENT,Clerk#000000271,0, fluffily regular Tiresias wake across the 
2400900,84575,F,12191.65,25-07-1993,3-MEDIUM,Clerk#000000485,0,ly unusual accounts are-- slyly final requests about the b
2400901,37364,F,139095.77,18-01-1994,2-HIGH,Clerk#000000503,0,"tect carefully bold, express requests. blithely ironic packages wake "
2400902,68515,O,56184.66,19-06-1998,4-NOT SPECIFIED,Clerk#000000383,0,"nusual, ironic packages haggle quickly. final cour"
2400903,114505,F,64284.61,10-06-1993,5-LOW,Clerk#000000242,0,ns run. furiously regul
2400928,115408,F,225036.1,12-05-1994,5-LOW,Clerk#000000264,0,uriously final accounts. blithe
2400929,147898,O,50002.11,27-11-1995,5-LOW,Clerk#000000783,0,eposits haggle brave accounts. daring
2400930,43298,O,132627.94,30-11-1995,2-HIGH,Clerk#000000143,0,ng deposits along the furiously silent de
2400931,53003,F,127122.39,18-02-1993,4-NOT SPECIFIED,Clerk#000000986,0,". final, ironic packages across the ironic, ironic pinto beans are quick"
2400932,109012,F,334493.66,07-12-1994,5-LOW,Clerk#000000566,0,ly express deposits. blithely even requests according to the carefully ironic 
2400933,31183,O,110103.86,15-03-1998,4-NOT SPECIFIED,Clerk#000000205,0,"p carefully carefully final deposits. regular, blithe instructions"
